,Name,Album,Artist
1,Bekhayali,Kabir Singh,Sachet Tandon
2,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil, Pritam Chakraborty
3,Ainvayi Ainvayi,Band Baaja Baaraat,Amitabh Bhattacharya
4,Challa,Jab Tak Hai Jaan,Rabbi Shergill
5,Jag Ghoomeya,Sultan, Rahat Fateh Ali Khan
6,Bheege Hont Tere,Murder,Kunal Ganjawala
7,Abhi Abhi,Jism 2,"KK, Shreya Ghoshal"
8,Tashan Mein,Tashan,"Saleem, Vishal Dadlani, and Vishal–Shekhar"
9,Saaki Saaki,Musafir, Sukhwinder Singh and Sunidhi Chauhan
10,Badtameez Dil,Yeh Jawaani Hai Deewani.,Benny Dayal and Shefali Alvares
